OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
MARATHON OIL EF LLC,1420200098842H,-97.949447,28.876075,3/1/2013,5349,5349,519,16,530,1121,0.76,16056,60694,87275
MARATHON OIL EF LLC,1420200105393H,-97.950128,28.910881,6/1/2013,5022,5022,732,15,513,970,1.17,15683,66505,87813
MARATHON OIL EF LLC,1420200105431H,-97.956772,28.910422,8/1/2013,4940,4940,779,14,650,1471,1.3,17241,60262,88289
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096432H,-97.894342,28.958403,11/1/2011,2953,2953,1405,0,1152,940,141.97,11582,59636,90870
MARATHON OIL EF LLC,1420200107404H,-97.96751,28.9076,9/1/2014,4930,4930,1057,16,474,949,1.61,21510,72036,91386
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102365H,-97.888251,28.984028,1/1/2015,6582,6582,645,15,544,867,1,19717,63235,91783
MARATHON OIL EF LLC,1420200105392H,-97.950208,28.910883,6/1/2013,4985,4985,741,13,499,777,1.34,15621,68970,93594
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102544H,-97.895509,28.978242,5/1/2014,5689,5689,645,15,425,663,1.01,4481,44061,94490
MARATHON OIL EF LLC,1420200107405H,-97.96741,28.9076,9/1/2014,5078,5078,1135,23,560,927,1.17,20643,71972,94585
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105026H,-97.935053,28.944886,7/1/2013,5184,5184,1277,34,218,809,0.89,13894,57652,95967
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200103962H,-97.80408,29.028734,10/1/2014,3417,3417,683,17,431,904,0.95,13337,58885,96229
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107171H,-97.812075,28.977289,2/1/2014,4162,4162,1388,46,338,988,0.72,18683,71066,97799
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107174H,-97.812183,28.977189,2/1/2014,4290,4290,1345,45,441,1367,0.71,19405,73008,98370
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106872H,-97.819483,29.004792,1/1/2014,3842,3842,1501,52,577,801,0.69,16884,51401,99171
MURPHY EXPLORATION & PRODUCTION CO-U,142020009586D  1H,-97.765394,29.010331,1/1/2012,5171,5171,1130,31,682,868,0.86,15329,66050,99182
MARATHON OIL EF LLC,1420200105073HR,-97.934844,28.886875,9/1/2015,3875,3875,1089,22,615,1310,1.19,18623,72879,99758
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102364H,-97.888209,28.984049,1/1/2015,6502,6502,653,16,372,814,1,19717,64970,100068
ENCANA OIL & GAS (USA) INCORPORATED,14202001010520H,-97.712617,29.054433,10/1/2015,4620,4620,2158,31,416,808,1.63,17342,66075,100106
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104952H,-97.852124,28.989052,6/1/2013,4746,4746,685,16,374,1136,1.02,21442,76409,100322
MURPHY EXPLORATION & PRODUCTION CO-U,1420200105811H,-97.835308,28.993953,7/1/2013,4354,4354,1320,45,655,1152,0.7,16619,65142,100354
MARATHON OIL EF LLC,1420200105432H,-97.956831,28.910375,7/1/2013,4582,4582,724,12,458,1449,1.42,17241,70974,100426
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107671H,-97.832133,28.979861,8/1/2014,5687,5687,1315,33,652,728,0.94,12381,59752,101439
MARATHON OIL EF LLC,1420200106884H,-97.95298,28.94682,1/1/2015,5677,5677,1237,21,679,753,1.37,22102,70489,101718
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104951H,-97.852151,28.98902,6/1/2013,4948,4948,750,16,568,797,1.1,21914,77880,101810
